origin_time,origin_time_2021,latitude,longitude,depth,magnitude,event_id,rupture_radius,uncertainty_x,uncertainty_y,uncertainty_z,uncertainty_time
2022-12-05 04:53:51.930,31899231.93,40.198667,-124.133,12.73,0.87,1008069,0.015534,11.54483381,7.84754871,4.75951265,0.07219815
2022-12-05 07:45:53.410,31909553.41,40.158833,-123.761833,28.21,1.18,1008070,0.022197,13.12771491,10.11494198,1.65254074,0.36595345
2022-12-05 10:58:19.380,31921099.38,40.059167,-123.631833,13.22,0.62,1008071,0.011649,15.51969141,8.87606534,8.22602078,0.20197418
2022-12-05 21:54:06.390,31960446.39,41.019833,-123.360167,17.23,1.14,1008072,0.021198,17.37089357,9.31764274,5.73184557,0.23721313
2022-12-05 21:56:47.230,31960607.23,39.568833,-123.352833,14.66,1.05,nc73814926,0.019111,17.92918882,7.34272818,5.37768972,0.90394306
2022-12-05 22:40:09.580,31963209.58,40.342333,-124.455,12.99,0.65,1008073,0.012058,7.60724518,5.43685775,3.36352221,0.0475353
2022-12-06 00:42:38.160,31970558.16,40.432,-124.681667,25.52,0.99,1008074,0.017836,6.93333269,6.4730523,3.25338738,0.16058677
2022-12-06 07:58:06.210,31996686.21,40.146667,-123.8505,27.71,1.09,nc73815171,0.020012,15.60615234,7.25137981,2.64630437,0.38365269
2022-12-06 07:58:56.280,31996736.28,40.480333,-123.571,7.75,0.27,1008076,0.007785,19.36516246,7.19433227,7.95234979,0.66469997
2022-12-06 08:44:04.600,31999444.6,39.8335,-124.141333,11.27,1.31,1008077,0.02578,14.98183229,8.25440361,15.34127738,0.30408812
2022-12-06 09:02:21.300,32000541.3,40.966,-123.799,22.26,1.1,1008078,0.020243,18.98241573,10.21857498,3.19707152,1.04061031
2022-12-06 09:04:00.050,32000640.05,39.595833,-123.351,10.76,2.05,nc73815196,0.060435,16.67080254,9.17046461,7.08744679,1.17033291
2022-12-06 09:04:12.660,32000652.66,40.124167,-124.075667,11.82,0.97,1008079,0.01743,15.02927468,10.61723705,5.82851118,0.42891026
