event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
nc73818801_20200318_231602,100001,40.465145,-124.477376,29.678,28.3,-61.4,-102.3,208.9,231.4,273.5,2020,3,18,23,16,2.08,0.0,3,7,0,0,0.061,-9.0,1,2020-03-18T23:16:02.080Z
nc73818801_20200510_154438,100005,40.464917,-124.477165,29.635,46.2,-86.8,-145.2,169.7,149.7,251.8,2020,5,10,15,44,38.26,0.0,2,8,0,0,0.032,-9.0,1,2020-05-10T15:44:38.260Z
nc73818801_20210805_051134,100012,40.467122,-124.477531,29.853,15.2,158.1,73.0,269.3,326.8,250.2,2021,8,5,5,11,34.65,0.0,3,5,0,0,0.102,-9.0,1,2021-08-05T05:11:34.650Z
nc73818801_20210805_181638,100013,40.469104,-124.480916,30.294,-271.9,378.2,513.7,301.8,335.4,452.8,2021,8,5,18,16,38.72,0.0,4,5,0,0,0.111,-9.0,1,2021-08-05T18:16:38.720Z
nc73818801_20211023_030005,100015,40.466756,-124.479305,30.13,-135.3,117.5,350.4,248.5,437.6,371.0,2021,10,23,3,0,5.14,0.0,4,7,0,0,0.106,-9.0,1,2021-10-23T03:00:05.140Z
nc73818801_20211220_225759,100018,40.46615,-124.477075,29.725,53.8,50.2,-54.9,216.1,236.7,269.6,2021,12,20,22,57,59.92,0.0,6,9,0,0,0.05,-9.0,1,2021-12-20T22:57:59.920Z
nc73818801_20211222_014907,100020,40.465458,-124.47771,29.775,0.0,-26.7,-4.6,173.5,235.3,241.3,2021,12,22,1,49,7.29,0.0,4,8,0,0,0.024,-9.0,1,2021-12-22T01:49:07.290Z
nc73818801,100022,40.465267,-124.477425,29.738,24.2,-47.9,-42.1,164.6,188.6,223.0,2022,12,15,2,16,4.11,2.47,26,49,0,0,0.074,-9.0,1,2022-12-15T02:16:04.110Z
