event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
nc73818801_20200318_231602,100001,40.464482,-124.477327,29.564,32.4,-135.1,-215.7,170.3,178.3,240.4,2020,3,18,23,16,2.08,0.0,0,0,11,23,-9.0,0.063,1,2020-03-18T23:16:02.080Z
nc73818801_20200510_154438,100005,40.465198,-124.477108,29.735,51.1,-55.6,-44.6,136.3,145.8,244.1,2020,5,10,15,44,38.26,0.0,0,0,8,26,-9.0,0.029,1,2020-05-10T15:44:38.260Z
nc73818801_20210805_051134,100012,40.468066,-124.47679,29.799,78.0,263.0,19.2,223.5,288.9,234.2,2021,8,5,5,11,34.65,0.0,0,0,9,15,-9.0,0.083,1,2021-08-05T05:11:34.650Z
nc73818801_20210805_181638,100013,40.470585,-124.482235,30.512,-383.7,542.7,732.3,196.7,218.2,272.0,2021,8,5,18,16,38.72,0.0,0,0,12,14,-9.0,0.081,1,2021-08-05T18:16:38.720Z
nc73818801_20211023_030005,100015,40.468107,-124.480737,30.39,-256.7,267.5,610.1,212.8,339.2,332.6,2021,10,23,3,0,5.16,0.0,0,0,11,17,-9.0,0.087,1,2021-10-23T03:00:05.160Z
nc73818801_20211220_225759,100018,40.465739,-124.476221,29.627,126.3,4.5,-153.1,121.4,157.2,159.3,2021,12,20,22,57,59.92,0.0,0,0,26,42,-9.0,0.056,1,2021-12-20T22:57:59.920Z
nc73818801_20211222_014907,100020,40.464388,-124.477474,29.723,20.0,-145.5,-57.2,113.6,199.2,155.6,2021,12,22,1,49,7.29,0.0,0,0,23,38,-9.0,0.064,1,2021-12-22T01:49:07.290Z
nc73818801,100022,40.464648,-124.477311,29.677,33.8,-116.6,-103.3,125.9,186.0,145.6,2022,12,15,2,16,4.1,2.47,0,0,26,49,-9.0,0.066,1,2022-12-15T02:16:04.100Z
