original_id,synthetic_id
1016790_20130429_081829,100227
1016790_20130501_031811,100228
1016790_20130505_134408,100229
1016790_20130512_110112,100230
1016790_20130513_144023,100231
1016790_20130514_220431,100232
1016790_20130514_090320,100233
1016790_20130515_201414,100234
1016790_20130516_202027,100235
1016790_20130517_172814,100236
1016790_20130521_234349,100237
1016790_20130522_005525,100238
1016790_20130524_115059,100239
1016790_20130526_140746,100240
1016790_20130526_220715,100241
1016790_20130527_091930,100242
1016790_20130527_164525,100243
1016790_20130603_114202,100244
1016790_20130605_075737,100245
1016790_20130608_073100,100246
1016790_20130608_045435,100247
1016790_20130608_104123,100248
1016790_20130611_123653,100249
1016790_20130612_171846,100250
1016790_20130612_160824,100251
1016790_20130615_075340,100252
1016790_20130616_143637,100253
1016790_20130618_225451,100254
1016790_20130619_200738,100255
1016790_20130620_100656,100256
1016790_20130621_070041,100257
1016790_20130621_171328,100258
1016790_20130628_163558,100259
1016790_20130629_014204,100260
1016790_20130630_214708,100261
1016790_20130701_191640,100262
1016790_20130702_043618,100263
1016790_20130703_113635,100264
1016790_20130704_091958,100265
1016790_20130705_045650,100266
1016790_20130706_082540,100267
1016790_20130707_200643,100268
1016790_20130708_162538,100269
1016790_20130709_110036,100270
1016790_20130709_185629,100271
1016790_20130709_041715,100272
1016790_20130712_074613,100273
1016790_20130713_183335,100274
1016790_20130714_185836,100275
1016790_20130717_021140,100276
1016790_20130722_005916,100277
1016790_20130722_154707,100278
1016790_20130725_144521,100279
1016790_20130725_204734,100280
1016790_20130728_231826,100281
1016790_20130731_234750,100282
1016790_20130801_081030,100283
1016790_20130802_053054,100284
1016790_20130802_081901,100285
1016790_20130803_010834,100286
1016790_20130805_095240,100287
1016790_20130808_222116,100288
1016790_20130809_054907,100289
1016790_20130809_073929,100290
1016790_20130809_052908,100291
1016790_20130809_203442,100292
1016790_20130809_053309,100293
1016790_20130811_183239,100294
1016790_20130811_190212,100295
1016790_20130814_150454,100296
1016790_20130815_021733,100297
1016790_20130815_194558,100298
1016790_20130817_113752,100299
1016790_20130818_184703,100300
1016790_20130818_151501,100301
1016790_20130822_160236,100302
1016790_20130827_004639,100303
1016790_20130827_213050,100304
1016790_20130828_102954,100305
1016790_20130828_221811,100306
1016790_20130830_041243,100307
1016790_20130831_140720,100308
1016790_20130831_154316,100309
1016790_20130831_063417,100310
1016790_20130831_165501,100311
1016790_20130831_203756,100312
1016790_20130831_161922,100313
1016790_20130831_162300,100314
1016790_20130831_142327,100315
1016790_20130831_150824,100316
1016790_20130901_124419,100317
1016790_20130903_023209,100318
1016790_20130905_072257,100319
1016790_20130906_202837,100320
1016790_20130909_064907,100321
1016790_20130909_063155,100322
1016790_20130914_053054,100323
1016790_20130914_125706,100324
1016790_20130915_124942,100325
1016790_20130918_140123,100326
1016790_20130924_174229,100327
1016790_20130924_232256,100328
1016790_20130929_193557,100329
1016790_20130929_114624,100330
1016790_20130930_103131,100331
1016790_20131002_055217,100332
1016790_20131003_035540,100333
1016790_20131009_003406,100334
1016790_20131010_134957,100335
1016790_20131012_200452,100336
1016790_20131012_023203,100337
1016790_20131013_040604,100338
1016790_20131013_223816,100339
1016790_20131014_073435,100340
1016790_20131014_080806,100341
1016790_20131019_200144,100342
1016790_20131020_002803,100343
1016790_20131022_005359,100344
1016790_20131023_151427,100345
1016790_20131024_075403,100346
1016790_20131025_102632,100347
1016790_20131029_040958,100348
1016790_20131031_002426,100349
1016790_20131101_115655,100350
1016790_20131102_182920,100351
1016790_20131104_050901,100352
1016790_20131104_164443,100353
1016790_20131104_083409,100354
1016790_20131104_090053,100355
1016790_20131105_071939,100356
1016790_20131106_074020,100357
1016790_20131107_092345,100358
1016790_20131107_101853,100359
1016790_20131107_093619,100360
1016790_20131109_080756,100361
1016790_20131115_211015,100362
1016790_20131115_052107,100363
1016790_20131116_060532,100364
1016790_20131116_045818,100365
1016790_20131116_153107,100366
1016790_20131117_140528,100367
1016790_20131117_222626,100368
1016790_20131117_222639,100369
1016790_20131118_234330,100370
1016790_20131118_111836,100371
1016790_20131119_234019,100372
1016790_20131119_170707,100373
1016790_20131120_052027,100374
1016790_20131120_040332,100375
1016790_20131122_165259,100376
1016790_20131123_221156,100377
1016790_20131123_081112,100378
1016790_20131123_150333,100379
1016790_20131125_125015,100380
1016790_20131126_011336,100381
1016790_20131130_062836,100382
1016790_20131130_232259,100383
1016790_20131201_111309,100384
1016790_20131203_064027,100385
1016790_20131204_013019,100386
1016790_20131205_072221,100387
1016790_20131206_070603,100388
1016790_20131208_145042,100389
1016790_20131208_130621,100390
1016790_20131209_183827,100391
1016790_20131211_114145,100392
1016790_20131211_033011,100393
1016790_20131211_192312,100394
1016790_20131213_041545,100395
1016790_20131220_103848,100396
1016790_20131221_051109,100397
1016790_20131222_073058,100398
1016790_20131224_122439,100399
1016790_20131224_104221,100400
1016790_20131224_115023,100401
1016790_20131224_184545,100402
1016790_20131224_194853,100403
1016790_20131224_141021,100404
1016790_20131224_104227,100405
1016790_20131224_103418,100406
1016790_20131225_163914,100407
1016790_20140102_054456,100408
1016790_20140102_030621,100409
1016790_20140102_021350,100410
1016790_20140108_023950,100411
1016790_20140108_093423,100412
1016790_20140109_024608,100413
1016790_20140110_003017,100414
1016790_20140113_090545,100415
