event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1012807,110591,40.585791,-124.06049,20.989,14542.4,3948.7,-438.7,0.4,0.4,0.4,2022,12,25,22,34,55.28,0.82,2,2,21,30,0.001,0.09,1,2022-12-25T22:34:55.280Z
1014503,110592,40.618412,-124.077783,17.655,13074.8,7571.1,-3772.0,1.0,0.5,0.8,2023,1,18,8,28,49.22,0.92,15,10,71,59,0.005,0.047,1,2023-01-18T08:28:49.220Z
1009560,110594,40.557902,-123.936613,21.166,25037.7,851.7,-261.2,1.6,1.3,1.6,2022,12,21,0,45,40.26,1.26,0,0,79,84,-9.0,0.057,1,2022-12-21T00:45:40.260Z
nc73821106,110595,40.59172,-124.32675,21.388,-8004.8,4607.0,-39.2,0.6,0.4,0.6,2022,12,20,10,52,39.31,3.28,12,13,57,42,0.006,0.032,1,2022-12-20T10:52:39.310Z
1013220,110596,40.542285,-124.338997,17.448,-9045.2,-882.5,-3979.4,0.8,0.9,1.3,2022,12,29,7,31,23.04,0.85,0,0,62,38,-9.0,0.049,1,2022-12-29T07:31:23.040Z
1009309,110597,40.623942,-124.083366,19.891,12601.6,8185.2,-1535.4,0.3,0.5,0.5,2022,12,20,21,24,28.68,0.9,1,2,28,15,0.002,0.064,1,2022-12-20T21:24:28.680Z
1012844,110598,40.598108,-124.10175,23.055,11047.4,5316.4,1628.1,0.5,0.3,0.6,2022,12,26,1,46,2.95,1.45,0,4,62,35,0.003,0.045,1,2022-12-26T01:46:02.950Z
1009178,110600,40.524731,-124.383236,17.044,-12794.3,-2831.7,-4383.2,1.7,1.5,2.3,2022,12,20,19,51,5.48,1.33,0,0,10,8,-9.0,0.045,1,2022-12-20T19:51:05.480Z
1010477,110604,40.576904,-123.948674,20.141,24012.8,2961.8,-1286.6,0.5,0.4,0.2,2022,12,21,17,1,49.64,1.16,0,3,55,60,0.003,0.085,1,2022-12-21T17:01:49.640Z
1011129,110605,40.520821,-124.430436,19.201,-16793.6,-3265.9,-2226.6,2.2,1.1,3.1,2022,12,22,7,33,35.54,1.14,0,0,76,66,-9.0,0.04,1,2022-12-22T07:33:35.540Z
1010376,110607,40.657894,-124.01425,19.179,18448.2,11955.4,-2248.3,1.1,1.2,1.5,2022,12,21,14,33,24.32,1.52,0,0,26,22,-9.0,0.036,1,2022-12-21T14:33:24.320Z
nc73824646,110608,40.643876,-124.026676,18.571,17398.3,10398.8,-2856.2,0.3,0.4,0.7,2022,12,25,12,29,55.13,1.64,2,4,41,36,0.003,0.063,1,2022-12-25T12:29:55.130Z
1009131,110609,40.575444,-124.153133,23.386,6697.6,2799.6,1958.5,1.3,0.6,1.0,2022,12,20,19,19,0.1,1.41,0,0,60,44,-9.0,0.034,1,2022-12-20T19:19:00.100Z
1010242,110611,40.547453,-124.238241,18.607,-510.1,-308.6,-2820.0,1.3,1.8,1.4,2022,12,21,12,21,21.67,0.97,0,0,37,19,-9.0,0.047,1,2022-12-21T12:21:21.670Z
1013091,110613,40.665328,-123.886955,22.795,29220.4,12780.9,1367.5,0.6,0.5,0.4,2022,12,27,17,40,9.76,1.83,9,5,19,13,0.003,0.071,1,2022-12-27T17:40:09.760Z
nc73846766,110614,40.551221,-124.314144,20.594,-6939.4,109.8,-832.9,1.3,1.0,2.1,2023,2,15,14,26,55.27,2.21,0,0,40,39,-9.0,0.057,1,2023-02-15T14:26:55.270Z
1010087,110615,40.580522,-124.132349,22.576,8457.5,3363.5,1149.1,1.1,0.9,1.6,2022,12,21,9,48,30.57,1.09,0,0,37,17,-9.0,0.037,1,2022-12-21T09:48:30.570Z
1009463,110618,40.602315,-123.978459,22.563,21486.3,5783.6,1135.8,0.9,0.8,0.5,2022,12,20,23,30,29.64,1.04,5,7,14,19,0.004,0.042,1,2022-12-20T23:30:29.640Z
1010969,110619,40.598132,-123.917269,21.676,26668.2,5319.1,248.7,0.5,0.4,0.5,2022,12,22,4,23,8.95,0.67,5,1,50,46,0.0,0.062,1,2022-12-22T04:23:08.950Z
1012741,110620,40.602079,-123.891561,24.934,28844.2,5757.4,3506.3,0.3,0.4,0.8,2022,12,25,16,15,8.42,1.07,6,5,24,16,0.003,0.07,1,2022-12-25T16:15:08.420Z
1013144,110622,40.603638,-124.102816,15.625,10956.7,5930.5,-5801.9,0.3,0.2,0.2,2022,12,28,9,46,28.79,1.31,3,3,41,32,0.0,0.065,1,2022-12-28T09:46:28.790Z
1013356,110623,40.595679,-124.155005,23.026,6538.1,5046.7,1598.4,1.7,1.1,1.2,2022,12,30,9,23,12.07,1.07,0,0,32,29,-9.0,0.048,1,2022-12-30T09:23:12.070Z
1017202,110624,40.609692,-124.11049,18.236,10306.4,6602.8,-3191.3,1.1,0.8,1.1,2023,4,2,23,2,20.0,1.02,0,0,98,73,-9.0,0.061,1,2023-04-02T23:02:20.000Z
1009307,110625,40.551013,-124.072306,18.984,13545.2,86.8,-2443.6,0.7,0.5,0.6,2022,12,20,21,22,52.64,1.2,0,0,23,0,-9.0,0.02,1,2022-12-20T21:22:52.640Z
1012389,110626,40.557914,-124.021387,21.71,17857.4,853.1,282.7,0.5,0.4,0.4,2022,12,24,20,57,12.6,1.3,4,3,39,40,0.001,0.078,1,2022-12-24T20:57:12.600Z
1008926,110627,40.589941,-124.192497,22.457,3363.6,4409.6,1029.3,0.7,0.7,1.3,2022,12,20,16,59,23.79,1.39,0,3,17,13,0.004,0.049,1,2022-12-20T16:59:23.790Z
nc73824491,110628,40.551184,-123.885376,22.192,29378.9,105.7,764.4,0.5,0.4,0.3,2022,12,25,6,37,31.48,1.5,0,4,42,29,0.002,0.07,1,2022-12-25T06:37:31.480Z
1015274,110629,40.582463,-124.240975,23.706,-741.5,3579.1,2278.6,2.4,1.4,2.4,2023,2,2,2,53,51.87,0.9,0,0,11,4,-9.0,0.029,1,2023-02-02T02:53:51.870Z
1011077,110630,40.601188,-124.111068,15.162,10258.1,5658.5,-6265.7,1.0,0.7,0.7,2022,12,22,6,38,47.06,0.92,2,3,56,45,0.007,0.073,1,2022-12-22T06:38:47.060Z
1011065,110631,40.600704,-123.999951,19.874,19666.7,5604.7,-1553.0,0.6,0.6,0.5,2022,12,22,6,27,3.22,1.14,0,0,67,95,-9.0,0.054,1,2022-12-22T06:27:03.220Z
nc73821186,110633,40.512716,-124.451652,24.526,-18592.2,-4166.0,3099.0,0.3,0.4,1.6,2022,12,20,11,23,43.21,2.53,3,8,15,22,0.003,0.054,1,2022-12-20T11:23:43.210Z
1013881,110634,40.613224,-124.081226,15.733,12783.8,6995.0,-5694.1,1.1,0.8,0.9,2023,1,3,7,23,30.63,1.13,0,0,56,38,-9.0,0.042,1,2023-01-03T07:23:30.630Z
1012170,110635,40.547534,-124.046191,22.86,15757.6,-299.6,1433.2,0.7,0.6,0.7,2022,12,24,7,16,44.56,1.51,0,3,47,87,0.007,0.056,1,2022-12-24T07:16:44.560Z
1018244,110636,40.580452,-124.215991,19.242,1374.2,3355.9,-2185.6,0.8,0.2,1.0,2023,5,5,10,50,40.19,0.86,3,0,91,48,0.0,0.062,1,2023-05-05T10:50:40.190Z
nc73824641,110637,40.545479,-124.336816,16.846,-8860.2,-527.8,-4580.8,1.1,0.7,1.5,2022,12,25,12,21,40.59,1.9,0,0,58,33,-9.0,0.068,1,2022-12-25T12:21:40.590Z
1010572,110638,40.587288,-124.149715,23.713,6986.5,4115.0,2285.4,1.1,1.3,1.2,2022,12,21,19,17,30.56,1.31,1,0,59,52,0.001,0.069,1,2022-12-21T19:17:30.560Z
1012604,110641,40.644189,-123.998983,18.648,19742.4,10433.5,-2779.2,1.1,0.3,0.9,2022,12,25,9,11,59.17,0.7,3,7,19,17,0.006,0.04,1,2022-12-25T09:11:59.170Z
1015864,110643,40.539815,-123.911523,22.786,27166.4,-1156.7,1358.8,0.4,0.5,0.5,2023,2,16,18,3,27.56,1.53,14,9,50,46,0.006,0.061,1,2023-02-16T18:03:27.560Z
1015726,110644,40.562956,-123.979801,23.689,21378.9,1412.9,2261.5,0.4,0.3,0.2,2023,2,13,5,45,35.35,1.23,0,7,27,31,0.003,0.061,1,2023-02-13T05:45:35.350Z
1015464,110646,40.575338,-124.424284,23.275,-16265.8,2787.9,1847.7,0.5,0.5,0.8,2023,2,6,20,12,2.44,1.35,3,6,0,0,0.005,-9.0,1,2023-02-06T20:12:02.440Z
1009113,110647,40.565312,-124.143774,22.19,7490.8,1674.5,763.1,1.5,0.7,0.9,2022,12,20,19,6,23.2,1.47,0,0,36,17,-9.0,0.033,1,2022-12-20T19:06:23.200Z
nc73824911,110649,40.519763,-124.355973,22.44,-10485.0,-3383.4,1012.4,0.9,0.9,1.2,2022,12,25,23,13,35.28,1.83,0,0,12,10,-9.0,0.023,1,2022-12-25T23:13:35.280Z
1012952,110650,40.701949,-123.952873,22.178,23635.2,16847.5,750.5,0.4,0.3,0.3,2022,12,26,9,16,15.99,1.67,3,0,22,3,0.0,0.057,1,2022-12-26T09:16:15.990Z
nc73868920,110651,40.612207,-123.825488,26.672,34436.1,6882.0,5244.7,1.0,0.8,0.3,2023,4,8,3,4,20.64,1.95,3,0,29,14,0.004,0.055,1,2023-04-08T03:04:20.640Z
1015537,110652,40.515881,-124.439575,17.407,-17568.5,-3814.5,-4020.6,2.5,3.0,5.7,2023,2,8,14,16,55.21,1.31,0,0,37,36,-9.0,0.04,1,2023-02-08T14:16:55.210Z
