event_id,hypodd_id,latitude,longitude,depth,x_m,y_m,z_m,ex_m,ey_m,ez_m,year,month,day,hour,minute,second,magnitude,n_cc_p,n_cc_s,n_cat_p,n_cat_s,rms_cc,rms_cat,cluster_id,origin_time
1016016_20200930_181805,100277,40.28691,-124.466642,20.038,-4.2,22.6,-12.3,5.5,8.7,13.1,2020,9,30,18,18,5.76,0.0,32,53,0,0,0.013,-9.0,16,2020-09-30T18:18:05.760Z
1016016_20201013_143343,100278,40.286637,-124.466667,20.057,-6.2,-7.7,7.1,7.5,11.3,10.8,2020,10,13,14,33,43.2,0.0,17,43,0,0,0.011,-9.0,16,2020-10-13T14:33:43.200Z
1016016_20201106_193254,100279,40.286882,-124.466699,20.076,-9.0,19.4,25.7,7.6,19.2,12.5,2020,11,6,19,32,54.2,0.0,15,34,0,0,0.014,-9.0,16,2020-11-06T19:32:54.200Z
1016016_20201206_015357,100280,40.286511,-124.466602,20.062,-0.7,-21.7,11.9,7.7,14.5,15.8,2020,12,6,1,53,57.04,0.0,10,38,0,0,0.01,-9.0,16,2020-12-06T01:53:57.040Z
1016016,100761,40.287008,-124.466528,20.097,5.5,33.4,46.9,8.5,17.3,15.8,2023,2,20,13,18,3.96,1.48,30,57,0,0,0.02,-9.0,16,2023-02-20T13:18:03.960Z
1015893_20200625_123913,100582,40.507829,-124.33361,18.549,-9.0,14.5,9.2,10.1,10.8,13.8,2020,6,25,12,39,13.84,0.0,21,9,0,0,0.008,-9.0,17,2020-06-25T12:39:13.840Z
1015893_20200626_135155,100583,40.507886,-124.333618,18.549,-9.7,20.8,9.0,10.0,11.2,13.9,2020,6,26,13,51,55.76,0.0,24,9,0,0,0.01,-9.0,17,2020-06-26T13:51:55.760Z
1015893_20200627_090818,100584,40.507609,-124.333545,18.543,-3.4,-9.9,3.2,9.0,10.0,10.9,2020,6,27,9,8,18.86,0.0,27,9,0,0,0.013,-9.0,17,2020-06-27T09:08:18.860Z
1015893_20200715_154931,100585,40.507833,-124.333618,18.54,-9.7,14.9,0.1,10.8,6.5,10.7,2020,7,15,15,49,31.76,0.0,25,11,0,0,0.012,-9.0,17,2020-07-15T15:49:31.760Z
1015893_20200715_025513,100586,40.507808,-124.333634,18.549,-11.0,12.2,9.3,7.2,7.7,7.8,2020,7,15,2,55,13.78,0.0,26,9,0,0,0.011,-9.0,17,2020-07-15T02:55:13.780Z
1015893_20200715_050039,100587,40.507707,-124.333732,18.549,-19.3,0.9,9.0,10.5,14.1,12.8,2020,7,15,5,0,39.94,0.0,18,11,0,0,0.012,-9.0,17,2020-07-15T05:00:39.940Z
1015893_20200715_194035,100588,40.507784,-124.3337,18.55,-16.6,9.5,10.2,12.1,12.7,15.1,2020,7,15,19,40,35.32,0.0,24,9,0,0,0.011,-9.0,17,2020-07-15T19:40:35.320Z
1015893_20200716_160018,100589,40.50789,-124.333407,18.539,8.3,21.2,-0.7,12.5,11.7,12.1,2020,7,16,16,0,18.62,0.0,24,9,0,0,0.015,-9.0,17,2020-07-16T16:00:18.620Z
1015893_20200716_122609,100590,40.507389,-124.333431,18.571,6.2,-34.3,31.0,12.2,10.6,14.0,2020,7,16,12,26,9.68,0.0,15,11,0,0,0.013,-9.0,17,2020-07-16T12:26:09.680Z
1015893_20201120_171256,100591,40.506799,-124.333154,18.526,29.7,-99.9,-13.5,21.9,18.7,31.9,2020,11,20,17,12,56.04,0.0,20,0,0,0,0.025,-9.0,17,2020-11-20T17:12:56.040Z
1015893,100866,40.508024,-124.333211,18.504,24.8,36.1,-36.3,16.8,16.5,16.9,2023,2,17,12,38,36.27,0.88,28,9,0,0,0.012,-9.0,17,2023-02-17T12:38:36.270Z
1018733_20200123_024622,100391,40.276461,-124.510229,20.126,-2.1,17.6,25.9,5.4,9.4,7.9,2020,1,23,2,46,22.32,0.0,20,54,0,0,0.011,-9.0,18,2020-01-23T02:46:22.320Z
1018733_20200124_125818,100392,40.27631,-124.510164,20.118,3.5,0.9,18.2,5.6,6.2,7.7,2020,1,24,12,58,18.42,0.0,32,54,0,0,0.011,-9.0,18,2020-01-24T12:58:18.420Z
1018733_20200315_005554,100393,40.276054,-124.510156,20.095,4.2,-27.6,-5.2,2.9,5.3,5.5,2020,3,15,0,55,54.18,0.0,29,59,0,0,0.01,-9.0,18,2020-03-15T00:55:54.180Z
1018733_20200319_130223,100394,40.276457,-124.510409,20.12,-17.3,17.2,19.8,9.1,25.0,10.8,2020,3,19,13,2,23.12,0.0,0,23,0,0,0.009,-9.0,18,2020-03-19T13:02:23.120Z
1018733_20200404_125514,100395,40.276233,-124.510189,20.101,1.4,-7.7,1.1,7.0,5.5,8.7,2020,4,4,12,55,14.96,0.0,29,53,0,0,0.009,-9.0,18,2020-04-04T12:55:14.960Z
1018733_20200809_032401,100396,40.276424,-124.510124,20.369,6.9,13.6,269.0,10.2,17.5,35.3,2020,8,9,3,24,1.34,0.0,0,18,0,0,0.012,-9.0,18,2020-08-09T03:24:01.340Z
1018733_20200809_000042,100397,40.275602,-124.510148,19.949,4.8,-77.7,-150.7,9.5,20.8,19.6,2020,8,9,0,0,42.0,0.0,0,23,0,0,0.013,-9.0,18,2020-08-09T00:00:42.000Z
1018733_20200906_191519,100398,40.276794,-124.509855,20.145,29.8,54.7,45.2,12.2,16.7,28.8,2020,9,6,19,15,19.4,0.0,5,16,0,0,0.012,-9.0,18,2020-09-06T19:15:19.400Z
1018733_20201120_230537,100399,40.276444,-124.510311,20.064,-9.0,15.8,-36.5,8.6,25.3,11.8,2020,11,20,23,5,37.0,0.0,6,15,0,0,0.008,-9.0,18,2020-11-20T23:05:37.000Z
1018733_20201208_195059,100400,40.276213,-124.510164,20.07,3.5,-9.9,-30.1,5.8,7.6,9.3,2020,12,8,19,50,59.44,0.0,35,53,0,0,0.012,-9.0,18,2020-12-08T19:50:59.440Z
1018733,100788,40.276489,-124.510327,20.083,-10.4,20.8,-17.4,6.5,6.0,8.4,2023,5,22,8,39,15.92,1.61,34,62,0,0,0.01,-9.0,18,2023-05-22T08:39:15.920Z
1018391_20200118_124015,100373,40.315645,-124.623983,17.574,-6.9,27.6,94.2,9.1,26.4,30.0,2020,1,18,12,40,15.64,0.0,5,27,0,0,0.021,-9.0,19,2020-01-18T12:40:15.640Z
1018391_20200123_013552,100374,40.314958,-124.623413,17.596,41.5,-48.8,115.8,23.0,38.5,34.8,2020,1,23,1,35,52.65,0.0,13,15,0,0,0.031,-9.0,19,2020-01-23T01:35:52.650Z
1018391_20200212_160741,100375,40.315287,-124.62404,17.501,-11.8,-12.2,20.5,10.3,19.5,28.2,2020,2,12,16,7,41.0,0.0,0,28,0,0,0.013,-9.0,19,2020-02-12T16:07:41.000Z
1018391_20200309_210910,100376,40.316382,-124.623429,17.212,40.1,109.3,-267.7,20.8,42.7,36.6,2020,3,9,21,9,10.28,0.0,0,17,0,0,0.033,-9.0,19,2020-03-09T21:09:10.280Z
1018391_20200323_100801,100377,40.315466,-124.623796,17.488,9.0,7.7,8.0,12.2,21.0,23.3,2020,3,23,10,8,1.32,0.0,12,30,0,0,0.021,-9.0,19,2020-03-23T10:08:01.320Z
1018391_20200404_215054,100378,40.315153,-124.623779,17.46,10.4,-27.1,-20.3,10.0,40.2,32.1,2020,4,4,21,50,54.68,0.0,5,26,0,0,0.021,-9.0,19,2020-04-04T21:50:54.680Z
1018391_20200406_175848,100379,40.316378,-124.624015,17.456,-9.7,108.9,-24.1,10.1,32.8,30.3,2020,4,6,17,58,48.74,0.0,4,28,0,0,0.017,-9.0,19,2020-04-06T17:58:48.740Z
1018391_20200620_143212,100380,40.316174,-124.62382,17.524,6.9,86.3,44.0,14.7,37.0,32.5,2020,6,20,14,32,12.46,0.0,10,31,0,0,0.018,-9.0,19,2020-06-20T14:32:12.460Z
