ev1,ev2,station,phase,dt_sec,weight
101361,103138,NCCAL,S,-0.013486999999999999,0.84
101361,103138,NCJAL,S,0.010027,0.9
101361,103138,NCHSP,S,0.01789,0.76
101361,103138,NCCMM,S,-0.003216,0.92
101361,103138,NCJRR,S,0.012192999999999999,0.73
101361,103138,NCHGS,S,0.015913999999999998,0.88
101361,103138,NCHGW,S,0.020229999999999998,0.8
101361,103138,NCCDV,S,-0.013053000000000002,0.95
101361,103138,NCCMP,S,0.006328999999999998,0.96
101361,103138,NCJBZ,S,0.009183,0.73
101361,103138,NCCMR,S,-0.014286,0.9
101361,103138,NCCVA,S,-0.012929999999999997,0.97
101361,103138,NCCST,S,-0.006576000000000002,0.73
101361,103138,NCJLT,S,-0.0004469999999999995,0.82
101361,103138,NCJPPa,S,-0.0005539999999999989,0.74
101361,103138,NCBVY,S,0.014624,0.74
101361,114006,NCHPL,P,0.19222199999999998,0.814
101361,126189,NCCCOa,P,-0.011954,0.938
101361,126189,NCCSC,P,-0.012223,0.954
101361,126189,NCCMH,P,-0.01321,0.918
101361,126189,NCCAO,P,-0.011816,0.828
101361,126189,NCCADa,P,-0.010922,0.987
101361,126189,NCJCB,P,-0.011677,0.972
101361,126189,NCCML,P,-0.012877,0.978
101361,126189,NCCAL,P,-0.011979,0.973
101361,126189,NCHSP,P,-0.01753,0.9
101361,126189,NCCMM,P,-0.012400999999999999,0.962
101361,126189,NCJRR,P,-0.01044,0.967
101361,126189,NCJSS,P,-0.011854,0.899
101361,126189,NCHGS,P,-0.012169,0.954
101361,126189,NCJEC,P,-0.011082,0.969
101361,126189,NCJLX,P,-0.010949,0.977
101361,126189,NCHGW,P,-0.009741,0.996
101361,126189,NCCDV,P,-0.012565,0.986
101361,126189,NCCMJ,P,-0.012849,0.92
101361,126189,NCJBZ,P,-0.020601,0.939
101361,126189,NCCMR,P,-0.028734999999999997,0.976
101361,126189,NCJBC,P,-0.008757999999999998,0.914
101361,126189,NCCVA,P,-0.012249,0.96
101361,126189,NCHPR,P,-0.0138,0.878
101361,126189,NCJPL,P,-0.022761999999999998,0.705
101361,126189,NCCMN,P,-0.014393,0.935
101361,126189,NCHCB,P,-0.011705,0.837
101361,126189,NCJSC,P,-0.019423,0.887
101361,126189,NCHFE,P,-0.011101,0.98
101361,126189,NCCST,P,-0.014384,0.904
101361,126189,NCJBM,P,-0.012402999999999999,0.948
101361,126189,NCHOR,P,-0.010657999999999999,0.825
101361,126189,NCHCOb,P,-0.010828999999999998,0.831
101361,126189,NCJSM,P,-0.011895,0.831
101361,126189,NCHAZ,P,-0.011961999999999999,0.899
101361,126189,NCJSFa,P,-0.013127999999999999,0.772
101361,126189,NCCPL,P,-0.013252,0.834
101361,126189,NCJBLb,P,-0.01021,0.742
101361,126189,NCHFH,P,-0.010714999999999999,0.805
101361,126189,NCJPPa,P,-0.013247,0.876
101361,126189,NCHBT,P,-0.009859,0.814
101361,126189,NCHDLb,P,-0.012508,0.96
101361,126189,NCCMO,P,-0.009765,0.88
101361,126189,NCJBG,P,-0.017328,0.815
101361,126189,NCCLC,P,-0.011418999999999999,0.87
101361,126189,NCHFP,P,-0.010834,0.986
101361,126189,NCBVY,P,-0.008884,0.947
101361,126189,NCHQR,P,-0.015972,0.871
101361,126189,NCCCOa,S,-0.012003999999999999,0.96
101361,126189,NCCSC,S,-0.01236,0.97
101361,126189,NCCMH,S,-0.013000999999999999,0.96
101361,126189,NCCAO,S,-0.013130999999999999,0.87
101361,126189,NCCADa,S,-0.01057,0.99
101361,126189,NCJST,S,-0.012157,0.98
101361,126189,NCJCB,S,-0.010853999999999999,0.99
101361,126189,NCCML,S,-0.013094,0.98
101361,126189,NCCAL,S,-0.012459,0.97
101361,126189,NCHSP,S,-0.017701,0.96
101361,126189,NCCMM,S,-0.012744,0.97
101361,126189,NCJRR,S,-0.011252,0.96
101361,126189,NCJSS,S,-0.011606,0.99
101361,126189,NCHGS,S,-0.011803,0.98
101361,126189,NCJEC,S,-0.010031,0.96
101361,126189,NCJLX,S,-0.011344,0.97
101361,126189,NCHGW,S,-0.009696,0.99
101361,126189,NCCDV,S,-0.013113,0.98
101361,126189,NCCMJ,S,-0.013066,0.96
101361,126189,NCCMP,S,-0.012222,0.99
101361,126189,NCJBZ,S,-0.020536,0.84
101361,126189,NCCMR,S,-0.027864,0.97
101361,126189,NCJBC,S,-0.0022769999999999995,0.89
101361,126189,NCCVA,S,-0.011831999999999999,0.99
